catalogue_group,resource_type,title,url,last_modified,page_detail,synopsis
Podcast,Podcast,2009 Victorian Bushfires: Supporting recovery,https://emergingminds.com.au/podcasts/2009-victorian-bushfires-supporting-recovery/,2022-12-06T02:25:02+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","Lsiten to our guest April Harrison reflects on her experience of the 2009 Victorian Bushfires, the impacts they had on her and her community, and the important role that her school and educators played in her recovery."
Podcast,Podcast,A GP’s role in supporting the family,https://emergingminds.com.au/podcasts/a-gps-role-in-supporting-the-family/,2024-02-14T01:45:14+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","We talk with Dr Andrew Leech who has over 12 years experience as a GP, and a special interest in child mental health and wellbeing."
Podcast,Podcast,A national workforce survey of children’s mental health,https://emergingminds.com.au/podcasts/a-national-workforce-survey-of-childrens-mental-health/,2023-06-26T05:14:52+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",A discussion of the survey results and ways that organisations can help practitioners to support the mental health and wellbeing of families.
Podcast,Podcast,A neurodivergent-affirming approach to children’s mental health,https://emergingminds.com.au/podcasts/a-neurodivergent-affirming-approach-to-childrens-mental-health/,2025-04-07T05:22:34+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",In this episode practitioners and parents explore the concept of ‘neurodivergent-affirming practice' of autistic and ADHDer children.
Podcast,Podcast,A new mental health podcast for Australian parents,https://emergingminds.com.au/podcasts/a-new-mental-health-podcast-for-australian-parents/,2022-12-05T23:08:55+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","In this episode, you will meet the hosts of the Emerging Minds Families podcast: Ben Rogers, Alicia Ranford and Nadia Rossi."
Podcast,Podcast,A polyvagal approach to working with trauma,https://emergingminds.com.au/podcasts/a-polyvagal-approach-to-working-with-trauma/,2022-10-31T05:17:49+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","In this episode, psychologist Chris Cussen discusses how a neurobiological understanding of trauma shapes the way she works with children with significant trauma histories."
Podcast,Podcast,A story from Community,https://emergingminds.com.au/podcasts/a-story-from-community/,2023-02-07T04:55:02+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","In this podcast, Clyde Rigney Sr and Rose Rigney share their story of Raukkan, their Ngarrindjeri community on Lake Alexandrina."
Podcast,Podcast,A story of resilience,https://emergingminds.com.au/podcasts/a-story-of-resilience/,2023-02-07T04:50:56+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","In this podcast, Darryl Bingapore, a Ngarrindjeri Aboriginal and Torres Strait Islander man, shares his experiences of diversity and healing."
Podcast,Podcast,A story of two-way learning and healing,https://emergingminds.com.au/podcasts/a-story-of-two-way-learning-and-healing/,2023-02-07T04:58:48+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","Nancy Jeffrey reflects on her lived experience and wisdom, gained through working with Aboriginal and Torres Strait Islander communities."
Podcast,Podcast,A storybook approach to supporting children in care,https://emergingminds.com.au/podcasts/a-storybook-approach-to-supporting-children-in-care/,2023-11-01T04:25:22+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","Authors of the children's book 'One of a Kind' discuss the challenges children in care face, including being unaware of why they are in care."
Podcast,Podcast,"ADHD, autism and food: Supporting neurodivergent children at mealtimes",https://emergingminds.com.au/podcasts/adhd-autism-and-food-supporting-neurodivergent-children-at-mealtimes/,2025-09-17T23:13:53+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","In this episode host Nadia Rossi welcomes back Anna Ritan, an accredited paediatric dietitian-nutritionist and the founder of Nourish Little Lives. Anna shares insight into why mealtimes can be tricky for some neurodivergent children and the best ways we can..."
